City,Year,Month,TransportType,PassengerCount,VehicleCount,Accidents,CarbonEmission
Mumbai,2021,12,Car,10817,1074,49,1074
Mumbai,2021,12,Bike,15104,7536,18,7536
Mumbai,2021,12,Bus,44125,2894,50,2894
Mumbai,2021,12,Metro,5473,5490,23,5490
Mumbai,2021,12,EV,7179,4372,35,874.4
Mumbai,2022,1,Car,15323,4233,15,4233
Mumbai,2022,1,Bike,6350,6856,47,6856
Mumbai,2022,1,Bus,47335,4192,24,4192
Mumbai,2022,1,Metro,19456,3154,5,3154
Mumbai,2022,1,EV,14835,6122,15,1224.4
Mumbai,2022,2,Car,17928,7263,39,7263
Mumbai,2022,2,Bike,9908,3332,41,3332
Mumbai,2022,2,Bus,39861,7625,17,7625
Mumbai,2022,2,Metro,32060,2540,4,2540
Mumbai,2022,2,EV,6977,2119,18,423.8
Mumbai,2022,3,Car,4616,6217,29,6217
Mumbai,2022,3,Bike,15836,3229,44,3229
Mumbai,2022,3,Bus,45812,5030,12,5030
Mumbai,2022,3,Metro,26013,1158,9,1158
Mumbai,2022,3,EV,2626,5382,1,1076.4
Mumbai,2022,4,Car,7092,1837,18,1837
Mumbai,2022,4,Bike,9820,2024,45,2024
Mumbai,2022,4,Bus,33732,6956,0,6956
Mumbai,2022,4,Metro,20257,1738,9,1738
Mumbai,2022,4,EV,1482,5043,13,1008.6
Mumbai,2022,5,Car,12203,4442,19,4442
Mumbai,2022,5,Bike,17331,4042,29,4042
Mumbai,2022,5,Bus,7079,3705,5,3705
Mumbai,2022,5,Metro,14574,1459,17,1459
Mumbai,2022,5,EV,13858,1584,34,316.8
Mumbai,2022,6,Car,16405,2487,12,2487
Mumbai,2022,6,Bike,9194,7694,24,7694
Mumbai,2022,6,Bus,5826,1999,49,1999
Mumbai,2022,6,Metro,21315,4152,49,4152
Mumbai,2022,6,EV,15514,3024,47,604.8
Mumbai,2022,7,Car,2098,2631,29,2631
Mumbai,2022,7,Bike,4078,5269,42,5269
Mumbai,2022,7,Bus,18660,4873,24,4873
Mumbai,2022,7,Metro,49659,3556,20,3556
Mumbai,2022,7,EV,6197,6154,46,1230.8
Mumbai,2022,8,Car,2382,7100,35,7100
Mumbai,2022,8,Bike,18069,2000,16,2000
Mumbai,2022,8,Bus,36537,6230,19,6230
Mumbai,2022,8,Metro,18023,3952,3,3952
Mumbai,2022,8,EV,8136,1925,15,385
Mumbai,2022,9,Car,15226,3658,0,3658
Mumbai,2022,9,Bike,6484,7507,17,7507
Mumbai,2022,9,Bus,43318,1980,25,1980
Mumbai,2022,9,Metro,20931,1073,2,1073
Mumbai,2022,9,EV,16573,6639,38,1327.8
Mumbai,2022,10,Car,6078,4042,49,4042
Mumbai,2022,10,Bike,3932,3037,10,3037
Mumbai,2022,10,Bus,37762,1748,43,1748
Mumbai,2022,10,Metro,45543,3772,48,3772
Mumbai,2022,10,EV,2967,1489,22,297.8
Mumbai,2022,11,Car,6043,6745,34,6745
Mumbai,2022,11,Bike,4519,2030,31,2030
Mumbai,2022,11,Bus,20248,3594,35,3594
Mumbai,2022,11,Metro,47247,7198,22,7198
Mumbai,2022,11,EV,15375,7006,12,1401.2
Mumbai,2022,12,Car,1699,6646,24,6646
Mumbai,2022,12,Bike,12736,6934,8,6934
Mumbai,2022,12,Bus,21429,1323,31,1323
Mumbai,2022,12,Metro,33672,5579,18,5579
Mumbai,2022,12,EV,18784,6710,31,1342
Mumbai,2023,1,Car,7218,5642,11,5642
Mumbai,2023,1,Bike,18813,3848,20,3848
Mumbai,2023,1,Bus,35696,3255,38,3255
Mumbai,2023,1,Metro,41341,2313,4,2313
Mumbai,2023,1,EV,18404,2269,28,453.8
Mumbai,2023,2,Car,10688,7712,16,7712
Mumbai,2023,2,Bike,18747,4007,29,4007
Mumbai,2023,2,Bus,5047,7356,40,7356
Mumbai,2023,2,Metro,38158,4105,46,4105
Mumbai,2023,2,EV,7079,1153,39,230.6
Mumbai,2023,3,Car,12930,7357,39,7357
Mumbai,2023,3,Bike,8824,3627,46,3627
Mumbai,2023,3,Bus,9151,6392,34,6392
Mumbai,2023,3,Metro,30394,2555,33,2555
Mumbai,2023,3,EV,17303,7272,35,1454.4
Mumbai,2023,4,Car,6050,6022,18,6022
Mumbai,2023,4,Bike,11570,4357,41,4357
Mumbai,2023,4,Bus,26104,1904,6,1904
Mumbai,2023,4,Metro,39288,6397,4,6397
Mumbai,2023,4,EV,2434,7841,8,1568.2
Mumbai,2023,5,Car,6853,1256,12,1256
Mumbai,2023,5,Bike,4507,4976,12,4976
Mumbai,2023,5,Bus,11471,1260,36,1260
Mumbai,2023,5,Metro,47057,7850,24,7850
Mumbai,2023,5,EV,17053,5307,39,1061.4
Mumbai,2023,6,Car,9386,1402,23,1402
Mumbai,2023,6,Bike,8232,5963,45,5963
Mumbai,2023,6,Bus,9644,1107,13,1107
Mumbai,2023,6,Metro,47975,5025,5,5025
Mumbai,2023,6,EV,16337,7561,40,1512.2
Mumbai,2023,7,Car,2989,3956,35,3956
Mumbai,2023,7,Bike,14629,7734,23,7734
Mumbai,2023,7,Bus,8820,7747,39,7747
Mumbai,2023,7,Metro,22420,5333,2,5333
Mumbai,2023,7,EV,3306,7835,19,1567
Mumbai,2023,8,Car,3553,2768,33,2768
Mumbai,2023,8,Bike,4182,1829,46,1829
Mumbai,2023,8,Bus,20139,5355,24,5355
Mumbai,2023,8,Metro,17416,2582,33,2582
Mumbai,2023,8,EV,9151,5669,40,1133.8
Mumbai,2023,9,Car,6862,5574,47,5574
Mumbai,2023,9,Bike,19289,4401,47,4401
Mumbai,2023,9,Bus,11914,7277,40,7277
Mumbai,2023,9,Metro,42785,3932,43,3932
Mumbai,2023,9,EV,16031,6755,42,1351
Mumbai,2023,10,Car,14994,1852,10,1852
Mumbai,2023,10,Bike,6911,5505,25,5505
Mumbai,2023,10,Bus,38075,3764,42,3764
Mumbai,2023,10,Metro,15366,5373,38,5373
Mumbai,2023,10,EV,15516,3886,20,777.2
Mumbai,2023,11,Car,19025,3659,23,3659
Mumbai,2023,11,Bike,14511,7260,40,7260
Mumbai,2023,11,Bus,33219,7767,46,7767
Mumbai,2023,11,Metro,26197,5984,15,5984
Mumbai,2023,11,EV,19453,5469,13,1093.8
Mumbai,2023,12,Car,13290,7272,35,7272
Mumbai,2023,12,Bike,9325,3949,28,3949
Mumbai,2023,12,Bus,34327,4252,0,4252
Mumbai,2023,12,Metro,7271,3330,38,3330
Mumbai,2023,12,EV,1534,5240,8,1048
Mumbai,2024,1,Car,10890,1053,19,1053
Mumbai,2024,1,Bike,8270,2759,20,2759
Mumbai,2024,1,Bus,6422,7320,44,7320
Mumbai,2024,1,Metro,23085,5535,32,5535
Mumbai,2024,1,EV,19229,5674,36,1134.8
Mumbai,2024,2,Car,6069,1772,2,1772
Mumbai,2024,2,Bike,16085,3913,9,3913
Mumbai,2024,2,Bus,14070,3170,23,3170
Mumbai,2024,2,Metro,43152,3046,14,3046
Mumbai,2024,2,EV,9396,7644,19,1528.8
Mumbai,2024,3,Car,4011,5673,25,5673
Mumbai,2024,3,Bike,19647,2781,46,2781
Mumbai,2024,3,Bus,10059,6927,20,6927
Mumbai,2024,3,Metro,36623,2416,31,2416
Mumbai,2024,3,EV,19881,7713,6,1542.6
Mumbai,2024,4,Car,10843,1306,46,1306
Mumbai,2024,4,Bike,19883,4125,5,4125
Mumbai,2024,4,Bus,8664,7315,21,7315
Mumbai,2024,4,Metro,27801,7694,27,7694
Mumbai,2024,4,EV,14648,1987,49,397.4
Mumbai,2024,5,Car,8429,7124,41,7124
Mumbai,2024,5,Bike,1374,6192,49,6192
Mumbai,2024,5,Bus,46431,4133,3,4133
Mumbai,2024,5,Metro,24974,5295,2,5295
Mumbai,2024,5,EV,11463,5423,36,1084.6
Mumbai,2024,6,Car,5901,3677,32,3677
Mumbai,2024,6,Bike,8235,2254,3,2254
Mumbai,2024,6,Bus,49147,6993,25,6993
Mumbai,2024,6,Metro,34203,7167,38,7167
Mumbai,2024,6,EV,19849,5134,5,1026.8
Mumbai,2024,7,Car,8277,4538,18,4538
Mumbai,2024,7,Bike,13921,2212,8,2212
Mumbai,2024,7,Bus,27031,1676,30,1676
Mumbai,2024,7,Metro,42449,7105,3,7105
Mumbai,2024,7,EV,18961,4270,16,854
Mumbai,2024,8,Car,3787,4264,32,4264
Mumbai,2024,8,Bike,15237,7339,44,7339
Mumbai,2024,8,Bus,13544,7242,8,7242
Mumbai,2024,8,Metro,36517,5581,12,5581
Mumbai,2024,8,EV,16986,4238,41,847.6
Mumbai,2024,9,Car,19721,2606,35,2606
Mumbai,2024,9,Bike,18178,3017,15,3017
Mumbai,2024,9,Bus,9695,3181,49,3181
Mumbai,2024,9,Metro,33184,3649,43,3649
Mumbai,2024,9,EV,19874,1733,7,346.6
Mumbai,2024,10,Car,14552,4469,23,4469
Mumbai,2024,10,Bike,12413,2560,20,2560
Mumbai,2024,10,Bus,27578,5865,41,5865
Mumbai,2024,10,Metro,6586,7305,19,7305
Mumbai,2024,10,EV,6546,3864,39,772.8
Mumbai,2024,11,Car,15490,6105,9,6105
Mumbai,2024,11,Bike,15433,1367,14,1367
Mumbai,2024,11,Bus,18086,6614,23,6614
Mumbai,2024,11,Metro,15223,7207,46,7207
Mumbai,2024,11,EV,3811,1920,47,384
Mumbai,2024,12,Car,2787,2991,39,2991
Mumbai,2024,12,Bike,5839,7819,18,7819
Mumbai,2024,12,Bus,5900,3812,44,3812
Mumbai,2024,12,Metro,12292,3499,28,3499
Mumbai,2024,12,EV,16439,1186,21,237.2
Mumbai,2025,1,Car,7848,7062,34,7062
Mumbai,2025,1,Bike,7942,2669,34,2669
Mumbai,2025,1,Bus,39292,7146,16,7146
Mumbai,2025,1,Metro,40966,4956,39,4956
Mumbai,2025,1,EV,5631,6694,44,1338.8
Mumbai,2025,2,Car,1602,4085,37,4085
Mumbai,2025,2,Bike,18262,1356,16,1356
Mumbai,2025,2,Bus,16162,1492,18,1492
Mumbai,2025,2,Metro,18152,7465,44,7465
Mumbai,2025,2,EV,9889,1434,29,286.8
Mumbai,2025,3,Car,1273,1545,24,1545
Mumbai,2025,3,Bike,9890,6431,42,6431
Mumbai,2025,3,Bus,28607,1883,1,1883
Mumbai,2025,3,Metro,24168,6319,24,6319
Mumbai,2025,3,EV,8574,4118,32,823.6
Mumbai,2025,4,Car,4263,3584,31,3584
Mumbai,2025,4,Bike,18418,1721,11,1721
Mumbai,2025,4,Bus,18033,5101,29,5101
Mumbai,2025,4,Metro,41745,6836,1,6836
Mumbai,2025,4,EV,2302,3026,33,605.2
Mumbai,2025,5,Car,10991,3732,31,3732
Mumbai,2025,5,Bike,13890,7098,10,7098
Mumbai,2025,5,Bus,6204,3840,43,3840
Mumbai,2025,5,Metro,28062,3911,40,3911
Mumbai,2025,5,EV,10906,2934,32,586.8
Mumbai,2025,6,Car,10039,7651,3,7651
Mumbai,2025,6,Bike,9443,4171,1,4171
Mumbai,2025,6,Bus,41368,3295,14,3295
Mumbai,2025,6,Metro,14942,3799,25,3799
Mumbai,2025,6,EV,5497,1719,46,343.8
Mumbai,2025,7,Car,13524,5265,43,5265
Mumbai,2025,7,Bike,8452,4418,15,4418
Mumbai,2025,7,Bus,42545,2251,27,2251
Mumbai,2025,7,Metro,25472,5959,21,5959
Mumbai,2025,7,EV,15718,5441,8,1088.2
Mumbai,2025,8,Car,7775,6345,8,6345
Mumbai,2025,8,Bike,18739,6603,12,6603
Mumbai,2025,8,Bus,14051,3531,44,3531
Mumbai,2025,8,Metro,39328,2107,27,2107
Mumbai,2025,8,EV,5756,6375,36,1275
Mumbai,2025,9,Car,6178,3600,4,3600
Mumbai,2025,9,Bike,19262,5366,46,5366
Mumbai,2025,9,Bus,12758,2508,20,2508
Mumbai,2025,9,Metro,14536,6956,1,6956
Mumbai,2025,9,EV,11442,4391,26,878.2
Mumbai,2025,10,Car,10940,4629,47,4629
Mumbai,2025,10,Bike,9971,2244,49,2244
Mumbai,2025,10,Bus,17316,1874,8,1874
Mumbai,2025,10,Metro,17107,1214,48,1214
Mumbai,2025,10,EV,9744,5961,36,1192.2
Mumbai,2025,11,Car,8566,5885,14,5885
Mumbai,2025,11,Bike,8566,6630,1,6630
Mumbai,2025,11,Bus,28544,1651,44,1651
Mumbai,2025,11,Metro,36234,2098,32,2098
Mumbai,2025,11,EV,16360,6832,41,1366.4
Mumbai,2025,12,Car,13253,2507,24,2507
Mumbai,2025,12,Bike,17103,4881,8,4881
Mumbai,2025,12,Bus,15733,2583,14,2583
Mumbai,2025,12,Metro,7112,4347,48,4347
Mumbai,2025,12,EV,1491,3210,26,642
Delhi,2021,1,Car,8292,7081,42,7081
Delhi,2021,1,Bike,7646,7207,13,7207
Delhi,2021,1,Bus,9334,2450,28,2450
Delhi,2021,1,Metro,45439,5013,44,5013
Delhi,2021,1,EV,11646,4748,15,949.6
Delhi,2021,2,Car,15010,4316,49,4316
Delhi,2021,2,Bike,2370,5980,47,5980
Delhi,2021,2,Bus,29928,6899,20,6899
Delhi,2021,2,Metro,30831,6009,47,6009
Delhi,2021,2,EV,19741,5864,34,1172.8
Delhi,2021,3,Car,18210,6254,45,6254
Delhi,2021,3,Bike,2261,5265,6,5265
Delhi,2021,3,Bus,34596,4742,2,4742
Delhi,2021,3,Metro,21103,5249,34,5249
Delhi,2021,3,EV,13963,7022,2,1404.4
Delhi,2021,4,Car,19274,4173,33,4173
Delhi,2021,4,Bike,2615,2555,18,2555
Delhi,2021,4,Bus,33806,4260,19,4260
Delhi,2021,4,Metro,23737,4779,10,4779
Delhi,2021,4,EV,14843,3411,39,682.2
Delhi,2021,5,Car,2787,6652,33,6652
Delhi,2021,5,Bike,5660,4797,41,4797
Delhi,2021,5,Bus,34602,1740,46,1740
Delhi,2021,5,Metro,37811,1927,11,1927
Delhi,2021,5,EV,18904,2108,25,421.6
Delhi,2021,6,Car,14551,3649,28,3649
Delhi,2021,6,Bike,1816,2465,29,2465
Delhi,2021,6,Bus,43686,6837,12,6837
Delhi,2021,6,Metro,34798,1738,16,1738
Delhi,2021,6,EV,11619,6666,41,1333.2
Delhi,2021,7,Car,6373,6884,46,6884
Delhi,2021,7,Bike,5048,1747,7,1747
Delhi,2021,7,Bus,34451,6194,23,6194
Delhi,2021,7,Metro,10590,5291,45,5291
Delhi,2021,7,EV,13585,6954,50,1390.8
Delhi,2021,8,Car,17766,6014,10,6014
Delhi,2021,8,Bike,13408,5508,24,5508
Delhi,2021,8,Bus,7877,7293,10,7293
Delhi,2021,8,Metro,26967,5632,42,5632
Delhi,2021,8,EV,5918,2328,9,465.6
Delhi,2021,9,Car,6861,7300,45,7300
Delhi,2021,9,Bike,2681,4437,19,4437
Delhi,2021,9,Bus,25284,6981,49,6981
Delhi,2021,9,Metro,34245,3365,40,3365
Delhi,2021,9,EV,6921,1963,8,392.6
Delhi,2021,10,Car,7647,1028,39,1028
Delhi,2021,10,Bike,9293,1100,29,1100
Delhi,2021,10,Bus,37612,5084,34,5084
Delhi,2021,10,Metro,5376,5980,31,5980
Delhi,2021,10,EV,8794,2776,37,555.2
Delhi,2021,11,Car,16588,4717,26,4717
Delhi,2021,11,Bike,15479,1650,38,1650
Delhi,2021,11,Bus,44328,1053,15,1053
Delhi,2021,11,Metro,40870,3278,39,3278
Delhi,2021,11,EV,19269,7718,13,1543.6
Delhi,2021,12,Car,2602,2514,9,2514
Delhi,2021,12,Bike,2804,6351,22,6351
Delhi,2021,12,Bus,7406,2190,2,2190
Delhi,2021,12,Metro,48712,5735,38,5735
Delhi,2021,12,EV,10779,3712,5,742.4
Delhi,2022,1,Car,2606,1892,26,1892
Delhi,2022,1,Bike,6840,2321,43,2321
Delhi,2022,1,Bus,23637,6006,42,6006
Delhi,2022,1,Metro,43991,5688,50,5688
Delhi,2022,1,EV,19421,2453,29,490.6
Delhi,2022,2,Car,19971,3950,2,3950
Delhi,2022,2,Bike,4051,7295,19,7295
Delhi,2022,2,Bus,26156,4019,24,4019
Delhi,2022,2,Metro,9434,7213,27,7213
Delhi,2022,2,EV,19037,1531,18,306.2
Delhi,2022,3,Car,16427,2102,7,2102
Delhi,2022,3,Bike,9992,3696,33,3696
Delhi,2022,3,Bus,32116,5297,13,5297
Delhi,2022,3,Metro,18700,6013,3,6013
Delhi,2022,3,EV,4581,5680,46,1136
Delhi,2022,4,Car,18332,1718,30,1718
Delhi,2022,4,Bike,10410,4498,38,4498
Delhi,2022,4,Bus,25741,3127,33,3127
Delhi,2022,4,Metro,42692,6105,22,6105
Delhi,2022,4,EV,5250,6032,36,1206.4
Delhi,2022,5,Car,17265,5257,46,5257
Delhi,2022,5,Bike,17309,5034,11,5034
Delhi,2022,5,Bus,44938,2906,45,2906
Delhi,2022,5,Metro,24037,2585,0,2585
Delhi,2022,5,EV,4873,1196,29,239.2
Delhi,2022,6,Car,4864,7041,13,7041
Delhi,2022,6,Bike,14586,4391,2,4391
Delhi,2022,6,Bus,26875,3864,35,3864
Delhi,2022,6,Metro,46779,2739,0,2739
Delhi,2022,6,EV,7592,6652,18,1330.4
Delhi,2022,7,Car,9336,7473,4,7473
Delhi,2022,7,Bike,11085,3459,32,3459
Delhi,2022,7,Bus,41044,3653,49,3653
Delhi,2022,7,Metro,5401,1932,43,1932
Delhi,2022,7,EV,11921,3796,25,759.2
Delhi,2022,8,Car,19642,6046,1,6046
Delhi,2022,8,Bike,6755,2589,21,2589
Delhi,2022,8,Bus,27147,6508,30,6508
Delhi,2022,8,Metro,36096,7531,2,7531
Delhi,2022,8,EV,5448,4944,9,988.8
Delhi,2022,9,Car,16093,5398,21,5398
Delhi,2022,9,Bike,16154,7422,26,7422
Delhi,2022,9,Bus,8671,7841,33,7841
Delhi,2022,9,Metro,24617,5628,46,5628
Delhi,2022,9,EV,11338,5548,34,1109.6
Delhi,2022,10,Car,1613,2706,36,2706
Delhi,2022,10,Bike,11869,7549,50,7549
Delhi,2022,10,Bus,28173,1542,9,1542
Delhi,2022,10,Metro,23380,7887,1,7887
Delhi,2022,10,EV,12113,4073,40,814.6
Delhi,2022,11,Car,18507,7900,10,7900
Delhi,2022,11,Bike,19709,5961,24,5961
Delhi,2022,11,Bus,17280,5875,7,5875
Delhi,2022,11,Metro,25203,6777,20,6777
Delhi,2022,11,EV,2036,3224,26,644.8
Delhi,2022,12,Car,3844,5071,15,5071
Delhi,2022,12,Bike,13176,4702,19,4702
Delhi,2022,12,Bus,19164,5301,19,5301
Delhi,2022,12,Metro,16469,1919,23,1919
Delhi,2022,12,EV,2225,7371,12,1474.2
Delhi,2023,1,Car,4034,4635,32,4635
Delhi,2023,1,Bike,1817,7545,30,7545
Delhi,2023,1,Bus,37771,2262,12,2262
Delhi,2023,1,Metro,27289,4960,46,4960
Delhi,2023,1,EV,18158,3542,49,708.4
Delhi,2023,2,Car,11726,2173,49,2173
Delhi,2023,2,Bike,4219,7734,33,7734
Delhi,2023,2,Bus,49349,2087,13,2087
Delhi,2023,2,Metro,7395,4763,24,4763
Delhi,2023,2,EV,18116,1948,0,389.6
Delhi,2023,3,Car,11190,1360,43,1360
Delhi,2023,3,Bike,3853,3730,29,3730
Delhi,2023,3,Bus,8023,1844,33,1844
Delhi,2023,3,Metro,48187,7107,19,7107
Delhi,2023,3,EV,1736,5731,48,1146.2
Delhi,2023,4,Car,11228,6233,13,6233
Delhi,2023,4,Bike,11514,2642,12,2642
Delhi,2023,4,Bus,23780,3266,34,3266
Delhi,2023,4,Metro,25915,7330,28,7330
Delhi,2023,4,EV,4855,3233,9,646.6
Delhi,2023,5,Car,6160,3241,7,3241
Delhi,2023,5,Bike,1499,6103,35,6103
Delhi,2023,5,Bus,38689,1838,13,1838
Delhi,2023,5,Metro,40555,3869,35,3869
Delhi,2023,5,EV,11436,3220,9,644
Delhi,2023,6,Car,10282,5702,15,5702
Delhi,2023,6,Bike,6612,1583,19,1583
Delhi,2023,6,Bus,45190,3774,34,3774
Delhi,2023,6,Metro,34074,1415,8,1415
Delhi,2023,6,EV,1950,4856,43,971.2
Delhi,2023,7,Car,2653,1867,24,1867
Delhi,2023,7,Bike,2762,1705,27,1705
Delhi,2023,7,Bus,30684,2466,45,2466
Delhi,2023,7,Metro,44067,5855,40,5855
Delhi,2023,7,EV,15609,6048,22,1209.6
Delhi,2023,8,Car,11238,3722,12,3722
Delhi,2023,8,Bike,18481,1643,48,1643
Delhi,2023,8,Bus,35519,5651,8,5651
Delhi,2023,8,Metro,11089,7658,44,7658
Delhi,2023,8,EV,16344,1796,29,359.2
Delhi,2023,9,Car,11170,6607,41,6607
Delhi,2023,9,Bike,16250,4854,14,4854
Delhi,2023,9,Bus,19666,2177,39,2177
Delhi,2023,9,Metro,21911,3977,25,3977
Delhi,2023,9,EV,7008,6731,42,1346.2
Delhi,2023,10,Car,11824,7461,20,7461
Delhi,2023,10,Bike,15853,4993,1,4993
Delhi,2023,10,Bus,9283,4893,7,4893
Delhi,2023,10,Metro,28032,4921,29,4921
Delhi,2023,10,EV,6596,3312,49,662.4
Delhi,2023,11,Car,12423,5951,36,5951
Delhi,2023,11,Bike,5174,5161,6,5161
Delhi,2023,11,Bus,31587,7697,45,7697
Delhi,2023,11,Metro,12011,3669,35,3669
Delhi,2023,11,EV,3324,7491,19,1498.2
Delhi,2023,12,Car,18457,4776,25,4776
Delhi,2023,12,Bike,14547,2954,39,2954
Delhi,2023,12,Bus,20970,5488,10,5488
Delhi,2023,12,Metro,36612,4144,4,4144
Delhi,2023,12,EV,12164,2705,44,541
Delhi,2024,1,Car,15127,7425,27,7425
Delhi,2024,1,Bike,19586,7449,21,7449
Delhi,2024,1,Bus,40686,6686,15,6686
Delhi,2024,1,Metro,16343,6428,42,6428
Delhi,2024,1,EV,3552,7056,45,1411.2
Delhi,2024,2,Car,19815,7854,31,7854
Delhi,2024,2,Bike,4746,5851,38,5851
Delhi,2024,2,Bus,35337,3665,35,3665
Delhi,2024,2,Metro,11399,7734,28,7734
Delhi,2024,2,EV,6772,3523,25,704.6
Delhi,2024,3,Car,3280,5900,6,5900
Delhi,2024,3,Bike,13416,3682,31,3682
Delhi,2024,3,Bus,47270,6408,3,6408
Delhi,2024,3,Metro,10933,2782,8,2782
Delhi,2024,3,EV,1006,7201,9,1440.2
Delhi,2024,4,Car,5889,4710,34,4710
Delhi,2024,4,Bike,10551,4194,39,4194
Delhi,2024,4,Bus,42875,4663,12,4663
Delhi,2024,4,Metro,18478,6582,20,6582
Delhi,2024,4,EV,10821,5671,50,1134.2
